Department,Month,Revenue,Expenses,Profit/Loss,Budget Allocation,Forecasted Growth %,Risk Flag
R&D,Mar-24,3276060,8637824,-5361764,3152471.411718127,12.3,High
Administration,Nov-24,11754959,3134722,8620237,9874523.685555087,,High
Defense Systems,Apr-24,2391208,6449543,-4058335,2321541.938456622,11.85,Medium
nil,Jun-24,3753745,4107498,-353753,2798551.428656522,-4.56,High
R&D,Aug-24,8356195,-,,7161091.531302647,9.99,Medium
Cybersecurity,Feb-24,4266237,8421512,-4155275,4422711.683883494,6.13,Low
-,Mar-24,8753320,,5752901,9476134.083529502,,Medium
R&D,Sep-24,11978757,2207167,9771590,12015450.3974368,4.66,Low
Energy Production,Jul-24,2357281,9751342,-7394061,1798477.83725131,5.69,High
Medical Research,Feb-24,2883497,8756403,-5872906,3409495.449028715,nil,High
Tech Innovation,Aug-24,10388330,10712376,-324046,7588688.284367993,4.72,High
Administration,Jan-24,3775154,nil,-,3796717.154067618,-2.66,High
R&D,Nov-24,8701335,8377516,323819,10166250.66453467,13.71,Low
R&D,Jul-24,6644816,10114974,,5518842.065318959,1.62,High
Cybersecurity,Nov-24,11356250,1504952,9851298,8052983.068814569,11.07,
Tech Innovation,Oct-24,3199849,5547054,-2347205,3078278.470162214,-1.64,Medium
Medical Research,nil,8452608,1684113,6768495,9890844.607292777,-4.2,Low
Space Exploration,Feb-24,4044583,2213813,1830770,3256688.812862663,,Medium
Energy Production,Jun-24,5242542,6238226,-995684,4148407.643235833,-0.4,High
Energy Production,Aug-24,2308777,8277347,-5968570,,-2.37,Medium
Administration,Aug-24,2238066,9208465,,2385640.386383319,3.7,Medium
Energy Production,Mar-24,10653428,2494145,-,8782647.473308675,6.28,Medium
,Apr-24,2749104,5324706,-2575602,3096293.879599772,-1.99,Low
Energy Production,Jan-24,9338538,7731163,1607375,8321073.400771319,-2.95,High
Energy Production,Dec-24,6868649,3303563,3565086,5828124.36410274,5.02,High
Cybersecurity,Feb-24,8028592,8727302,-698710,7403663.417922447,10.28,Medium
Tech Innovation,Jan-24,8340981,4208441,4132540,7080502.918347847,8.38,Low
Cybersecurity,Jul-24,10020028,5800038,4219990,10564828.36643592,9.22,Low
R&D,Dec-24,4455227,3105058,,5101400.149116824,4.19,Medium
Medical Research,Jun-24,6835679,1924401,4911278,4818171.347649256,13.68,Low
R&D,Mar-24,6617684,3592312,3025372,5722103.105095684,-1.61,Medium
Defense Systems,Dec-24,7581164,4031648,3549516,8464829.612967152,-3.91,High
Defense Systems,Oct-24,5131865,3631082,1500783,4235354.667841002,6.62,High
Medical Research,Mar-24,10788386,1981619,nil,8976129.845547773,4.9,Low
-,Jul-24,9486757,9037156,449601,8575044.58906712,13.8,High
Medical Research,Mar-24,3119520,6393287,-3273767,,8.2,Low
Space Exploration,Jun-24,,4576410,,7117097.378420137,6.69,Medium
Administration,Jul-24,8955423,9500042,-544619,9579180.37044995,5.25,Low
,Jan-24,9486052,2426510,7059542,9393491.48758019,9.95,Medium
,Apr-24,2384666,-,,2484068.117265951,3.74,High
Administration,May-24,11960055,3934894,8025161,12144332.25511729,-4.42,Medium
-,Nov-24,11782377,6438976,5343401,13051084.18028582,8.44,High
Administration,Aug-24,8602830,6684416,1918414,7230420.317826366,8.05,Medium
Medical Research,Oct-24,11478466,10172444,1306022,9626098.756124292,4.29,Medium
Energy Production,Mar-24,3783378,2664820,1118558,-,0.98,High
Medical Research,Jun-24,6664986,2681911,3983075,5661682.260340262,-2.5,High
Administration,Jan-24,7004769,8600361,-1595592,7490011.297971124,10.24,
Administration,Dec-24,10520899,2625639,7895260,9778762.32033439,-2.76,High
Space Exploration,Mar-24,2944447,7383635,-4439188,2692387.582080266,-,High
Energy Production,Oct-24,-,5249479,233128,6392087.253949483,0.32,High
Administration,Feb-24,10905641,6457378,,11410546.22824805,2.05,Low
Energy Production,Nov-24,7599399,5936948,1662451,-,7.64,High
,Feb-24,5350897,1966078,3384819,5472762.863100515,-1.5,Medium
R&D,Sep-24,7183293,2210833,4972460,-,5.81,High
R&D,Jan-24,9642948,5489971,4152977,9251714.26199088,4.75,Low
,Sep-24,9524497,8644532,879965,nil,13.13,High
Space Exploration,Feb-24,2750933,10533996,-7783063,2230466.647490188,1.35,nil
Space Exploration,Oct-24,7557989,2194700,5363289,7693226.592747798,5.91,Medium
-,Nov-24,11582490,6869931,4712559,12292205.74853376,-0.76,Low
Energy Production,May-24,4906681,8899551,-3992870,5720212.927675192,2.2,Low
Administration,Dec-24,2414861,5673391,-3258530,2838651.108497067,12.51,Medium
Medical Research,Mar-24,6035448,4543393,1492055,,8.73,High
Cybersecurity,Feb-24,4357785,7064504,-2706719,4018132.395247227,0.62,
Cybersecurity,Jun-24,,2127310,8689805,12541683.53361175,8.88,Low
,Nov-24,10800730,6440954,4359776,,1.04,High
Cybersecurity,Jun-24,6482687,10862181,-4379494,4948577.792192329,-3.51,Low
-,,10837152,4659140,6178012,8779185.04894395,4.84,Low
Administration,Oct-24,2927729,8947897,-6020168,3031046.959584143,8.19,High
,Feb-24,10497017,6451132,4045885,12277812.03088989,10.32,High
Medical Research,Apr-24,3466951,5836842,-2369891,3082719.420365105,14.08,Low
Administration,Jan-24,11002608,3701384,7301224,9862975.382264452,2.52,Low
Tech Innovation,Jan-24,8887024,9833722,-946698,10573885.23632645,9.67,High
Space Exploration,Nov-24,3143595,9714203,-6570608,3303596.332572033,14.84,High
Energy Production,Mar-24,5331461,3749593,1581868,5133311.907966778,1.7,High
Energy Production,Oct-24,3836257,8768824,-4932567,3247820.259602481,7.9,Low
R&D,Jan-24,10419124,10330499,88625,10132057.53938889,-4.72,
Administration,,3494398,4201699,-707301,2493361.50483407,3.95,Medium
Cybersecurity,May-24,6851948,5372086,1479862,6146172.171930334,-,Low
Administration,Feb-24,6416193,9823049,-3406856,7030114.873832422,1.7,Medium
Administration,Dec-24,5260805,1982233,3278572,5337457.639009612,-2.04,
Defense Systems,-,3543583,9629645,-6086062,3988663.526424063,4.41,High
Space Exploration,Oct-24,10975363,7226640,3748723,9448699.096045142,2.73,Medium
Medical Research,Jul-24,7506405,7310909,195496,7998378.932528727,13.43,Low
nil,Feb-24,3311225,4713757,-1402532,3818451.604769484,4.99,Medium
Tech Innovation,Mar-24,8491653,1514551,6977102,6369150.475396417,-1.39,Low
Cybersecurity,May-24,-,5574870,-1448535,3544562.26049347,6.29,Low
Space Exploration,Apr-24,,10558140,-7536094,2997916.473649541,6.2,Low
Cybersecurity,,6712584,8770525,-2057941,5070691.54203226,11.68,High
Cybersecurity,Jul-24,10145744,5973425,4172319,10016759.02201187,7.7,Medium
Cybersecurity,Nov-24,7585359,10949194,-3363835,5671961.859514844,-3.35,
Energy Production,Apr-24,4993223,6781234,-1788011,5843982.212957347,-3.02,Low
Tech Innovation,Sep-24,4289702,2323850,1965852,4413410.485269438,13.22,Medium
Space Exploration,Feb-24,6539530,nil,,6426448.776609957,2.5,Low
Medical Research,Apr-24,3887678,8426091,-4538413,3073739.463126327,-3.09,Low
Space Exploration,Jun-24,6117266,8723737,-2606471,6342840.378954783,5.53,Medium
Tech Innovation,Jan-24,7177675,4941562,2236113,5305949.467659527,10.08,High
,Oct-24,11522343,3743103,7779240,11936271.16779662,6.18,High
Tech Innovation,Jun-24,11065537,nil,5844796,9305146.578137754,14.63,High
Cybersecurity,Sep-24,10769886,3560798,7209088,12444883.48065685,14.15,High
Tech Innovation,Sep-24,9824261,7521527,2302734,7690835.013373394,3.82,High
Cybersecurity,Apr-24,9301798,6831477,2470321,9582158.06852502,5.25,Medium
Tech Innovation,Feb-24,2075023,4721734,-2646711,2175245.361472306,-4.85,Medium
Tech Innovation,Feb-24,7088326,6831005,257321,7921901.653060539,-4.01,
Defense Systems,Jan-24,10039332,10949359,-910027,10572553.09854612,,Medium
R&D,Dec-24,11120011,7481470,3638541,8219803.74760058,4.16,Low
Energy Production,Sep-24,10537253,10970982,-433729,11752027.49561007,4.75,High
Tech Innovation,May-24,10235511,8134047,2101464,7612912.135329111,-,Low
R&D,Dec-24,5795245,7863575,-2068330,5449834.793082822,7.3,Medium
Medical Research,Jan-24,6744225,2431317,4312908,5403965.079098657,0.87,Low
Space Exploration,Dec-24,5080430,4478586,601844,4954685.274951946,2.87,Medium
Medical Research,Apr-24,8090972,7145266,945706,5782315.158139973,7.2,Low
Medical Research,Jan-24,10281798,4342842,5938956,7639960.429738317,-,High
R&D,May-24,3722104,6582513,-2860409,3503002.200743028,-,Medium
Administration,Oct-24,2619021,4355846,-1736825,2050918.436007512,-1.47,Medium
Tech Innovation,Sep-24,4103209,7658883,-3555674,3219428.687958178,13.92,High
Space Exploration,Jan-24,3831134,3863237,-32103,3667008.024867091,8.03,
Energy Production,Sep-24,6789458,,-4197441,6629480.699700817,8.04,Low
-,Sep-24,5622549,8616547,-2993998,5648999.485273444,13.97,Medium
Administration,Nov-24,5182026,-,-,4455945.275768044,4.4,Low
Energy Production,Sep-24,6659665,1573473,5086192,6950484.739455146,2.91,High
Cybersecurity,Jan-24,9928387,6369855,3558532,8260663.273544642,6.02,Low
,Dec-24,5728639,7424218,,6305090.81809729,0.45,Medium
Administration,Nov-24,5091556,8184648,-3093092,4066018.932686285,1.29,Medium
Tech Innovation,-,,7129746,-3061959,4375297.23460687,-1.08,Low
Cybersecurity,Jun-24,11804657,7815615,3989042,11663542.03895832,9.64,High
Energy Production,Feb-24,11266447,10798684,467763,10174247.8228438,5.42,High
Medical Research,Mar-24,11608126,3315661,8292465,8866895.349763803,1.34,Medium
Energy Production,,6228003,-,,-,-4.59,High
Administration,Jun-24,9819888,9568864,251024,10334420.62850709,-1.42,Medium
Space Exploration,Aug-24,6900225,8247292,-1347067,7625559.448896276,5.17,High
Medical Research,Aug-24,7533631,3101902,4431729,8078960.42911697,13.32,High
Defense Systems,Jun-24,3536080,4258647,-722567,2921185.702725247,3.46,Low
Tech Innovation,Jun-24,2205142,8696500,-6491358,1751749.206710022,1.7,Low
Space Exploration,Jun-24,3358514,4941491,,4013941.375516565,-3.52,Low
Administration,Oct-24,6995823,4378489,2617334,6411137.655329262,,Low
-,Nov-24,3184140,6709728,-3525588,3752940.10908162,-3.88,High
Cybersecurity,,,3616149,5739441,9471396.677570142,14.08,Medium
Space Exploration,Apr-24,3547448,9993160,-6445712,4075470.339290561,-0.34,High
Space Exploration,nil,-,8255695,1145268,7229261.437484905,-3,High
Cybersecurity,May-24,2592509,8581765,-5989256,2094435.5286617,-1.68,Low
Energy Production,Apr-24,2877072,-,nil,2377331.728757359,6.88,Low
Administration,May-24,11599043,10287392,1311651,12384140.95856312,-4.43,Low
Energy Production,Oct-24,,-,1864841,7951595.117767276,6.32,Medium
Defense Systems,Oct-24,11120852,,8676324,10206056.62963151,1.71,-
Energy Production,Nov-24,3077502,5961606,-2884104,2461280.969944564,5.01,Medium
Tech Innovation,Apr-24,4331594,6524443,-2192849,3953994.385625932,5.45,High
R&D,Nov-24,9662985,9520406,142579,7111529.252618687,1.79,High
Defense Systems,Sep-24,5670213,8607992,-2937779,4882844.315230389,13.94,Medium
Medical Research,Jun-24,10323846,1824983,8498863,11064807.39919597,5.67,High
Cybersecurity,Aug-24,11933618,6238442,5695176,9651566.927888315,8.72,Medium
Tech Innovation,,5488429,7147189,-1658760,3884802.366654876,-,Medium
,Nov-24,6180525,8888317,-2707792,6512931.482605387,-1.86,High
Medical Research,Nov-24,6249513,7874207,-1624694,4556024.732414906,10.19,Medium
,Oct-24,4606040,6035633,-1429593,,4.68,Medium
Energy Production,Jul-24,3172796,5542696,-2369900,2519412.226555251,2.5,Medium
R&D,Feb-24,10573356,-,6980939,8941874.592579134,10.18,High
Energy Production,Apr-24,4274889,9275234,-5000345,,-0.74,High
Tech Innovation,Apr-24,7633853,7766827,-132974,6217750.351334369,-,Medium
Defense Systems,Apr-24,8755873,,-,8043702.681695438,9.45,Medium
Energy Production,Jul-24,,4038167,1467447,6088405.455830748,-3.71,Medium
Medical Research,Aug-24,8241511,9048030,-806519,7698662.07840821,14.19,Medium
Space Exploration,Jan-24,8811881,7905745,906136,8708597.035390018,-0.48,Low
Defense Systems,Sep-24,7731010,9845216,-2114206,9246256.097008519,-0.28,Low
Defense Systems,Jun-24,10313717,-,6567749,12246755.36406919,9.18,High
Energy Production,Sep-24,5073677,10889393,-5815716,4079983.190238804,9.49,Low
Tech Innovation,Oct-24,2822912,,-6285157,2221958.711251486,5.95,Low
Medical Research,Dec-24,11891875,4992443,,13046365.30923756,-2.35,Medium
R&D,Sep-24,7660034,3059763,4600271,8858226.112978935,3.87,Low
Tech Innovation,Jan-24,4719903,9970774,-5250871,5339271.869609092,-2.52,Low
Space Exploration,Oct-24,2180091,8892995,-6712904,2258155.773132884,11.17,Medium
Defense Systems,Nov-24,3525286,7303300,-3778014,3569750.950952095,10.83,Medium
Space Exploration,Jul-24,5096975,7639620,-2542645,4433433.779764071,4.88,Low
Medical Research,,5902218,10530456,-4628238,4757361.013712151,1.45,High
Energy Production,Jul-24,3042490,9979941,-6937451,,7.58,Medium
Cybersecurity,May-24,5450681,3796916,1653765,4571004.336061533,0.04,High
Administration,Aug-24,9029308,3579974,5449334,8175748.871540131,-1.4,Medium
Defense Systems,Jun-24,8257786,2574114,,7357633.279684412,-0.05,High
Administration,Jul-24,4413883,9529514,-5115631,4702974.065938781,14.88,Medium
Defense Systems,Nov-24,7579716,2112330,5467386,8460789.529980393,-0.3,High
Energy Production,Sep-24,8426909,2668861,5758048,9047189.34867014,12.17,
Cybersecurity,Jul-24,4389935,8921979,,4287810.245692611,7.01,High
Energy Production,Jun-24,3557447,8659351,-5101904,3939352.877472768,1.79,Medium
Administration,Dec-24,11744494,9761551,1982943,9758320.23657132,0.03,High
R&D,May-24,9226631,5401306,3825325,9897084.666425075,9.3,Low
,Aug-24,6123767,,1460303,5715323.177908134,9.02,Medium
Cybersecurity,Feb-24,5924462,10042927,-4118465,,12.34,Medium
Cybersecurity,Apr-24,7606009,2817485,4788524,6680552.168788367,3.18,Medium
Administration,Oct-24,10191895,7469182,2722713,9646182.54095211,-2.15,Low
Defense Systems,,5339634,6688244,-1348610,5899738.573894994,3.26,Low
R&D,Oct-24,8447753,,,9308394.193310197,12.39,High
-,Dec-24,8630407,4548236,4082171,8956225.20231581,0.12,Low
Tech Innovation,,6083691,5353720,729971,6575574.584942747,-1,High
Tech Innovation,May-24,8891485,6465145,2426340,7148483.796698832,-,
R&D,Feb-24,10421065,6206682,4214383,-,-2.14,High
Medical Research,Aug-24,8005144,8029870,-24726,7271412.278767217,5.89,High
R&D,Jul-24,8610024,1859231,6750793,7315286.145539026,11.92,High
R&D,Jun-24,3481176,,-5519862,2881789.997489644,11.35,Medium
Medical Research,Jun-24,6054061,3202667,2851394,7074434.227669254,5.32,Low
Medical Research,Feb-24,8112009,2979149,5132860,6941527.855555162,-2.45,High
Space Exploration,Jul-24,9384734,3573105,5811629,7482547.200728524,10.81,High
Energy Production,Jan-24,3408506,4082287,-673781,,6.71,High
R&D,Oct-24,,4157328,1573337,6655109.408753497,2.22,High
Space Exploration,Jan-24,4874102,6053088,-1178986,4215967.065233414,14.39,Medium
R&D,Mar-24,11834811,6952743,4882068,10564428.49088357,,Low
Defense Systems,Dec-24,11702537,10643829,1058708,11983241.40069797,-1.4,High
Defense Systems,Oct-24,8512726,7900875,611851,8642120.211192606,10.91,Medium
Space Exploration,Sep-24,5366772,10792142,,,12.92,High
,Dec-24,,10656567,nil,2833644.27733563,11.84,Medium
Space Exploration,Oct-24,4722809,2355954,2366855,3529188.12773478,0.36,Medium
Defense Systems,Jun-24,4938878,4967200,,5414871.553239519,9.05,Low
R&D,May-24,6749891,9683627,-2933736,7397251.061996879,12.93,High
Space Exploration,Nov-24,3785809,3587780,198029,2849851.458217209,13.07,High
Administration,Nov-24,4439991,3363479,1076512,4528474.421081449,-4.52,Medium
Cybersecurity,May-24,2433886,4892084,-2458198,1894287.765818247,5.98,Medium
Administration,Feb-24,10296923,8418386,,7825762.402528205,13.53,Medium
Defense Systems,Sep-24,3599574,10380312,-6780738,3927915.252717188,8.66,Low
Space Exploration,-,4016768,10507000,-6490232,3112240.903398886,0.9,High
R&D,Apr-24,9085409,2576308,6509101,9839320.725823509,-4.11,Medium
Cybersecurity,Nov-24,4057687,5763071,,-,-2.21,Low
R&D,-,7389010,8706454,-1317444,7904429.091608246,11.51,Low
Administration,Nov-24,3123121,10156478,-7033357,2548008.645858759,0.96,Low
Administration,Feb-24,6598998,2096831,4502167,5607259.817329672,13.73,High
Defense Systems,Jul-24,nil,4562599,5277198,7275548.764817235,1.13,High
Defense Systems,Nov-24,,7964136,-1836448,7181319.853206937,-2.07,Low
Tech Innovation,Dec-24,11287102,2234172,9052930,11234025.91876084,3.27,Medium
Tech Innovation,Oct-24,5940962,10894177,-4953215,5315564.845753677,14.58,Medium
R&D,Jul-24,10310293,7474140,2836153,9702356.610760104,10.03,Medium
Tech Innovation,Aug-24,10951111,6591689,4359422,12428728.4844149,-2.09,Medium
Energy Production,Nov-24,11657362,10752449,904913,nil,-4.62,Medium
,nil,6565451,7698556,-,7247997.466089438,4.02,Medium
Cybersecurity,Apr-24,8269853,7587651,682202,9009773.018219808,3.59,Low
R&D,Sep-24,11953798,nil,5046158,8953803.045667732,2.25,-
Energy Production,May-24,11776007,7105609,4670398,13684767.34215939,7.04,High
Space Exploration,Jul-24,9186912,6634951,2551961,10293585.59362537,8.85,Low
Administration,Mar-24,8019609,2842228,5177381,6937006.27911792,-4.24,Medium
Cybersecurity,Jun-24,6478475,9065256,-2586781,6809259.22860838,10.27,Medium
Space Exploration,Mar-24,9056226,10701292,-1645066,10661488.37825033,-2.86,Low
Medical Research,Sep-24,6741732,5108464,1633268,-,-2.03,Low
Space Exploration,Jan-24,9645741,6794110,,8788463.508330055,9.63,nil
Defense Systems,Jun-24,11270692,6341655,4929037,11107655.59320666,9.17,High
Administration,Oct-24,8127325,,4527330,7826600.564854789,7.7,Medium
Defense Systems,Feb-24,4539974,3386182,1153792,3983805.877756202,3.6,Low
Space Exploration,May-24,10353889,2973756,7380133,7615321.448272636,-0.74,High
Energy Production,Aug-24,6632014,2252176,4379838,-,8.65,High
Space Exploration,Jul-24,7270653,8426163,-1155510,6357776.762110043,3.59,High
Medical Research,Feb-24,9436303,2107040,7329263,10221952.383191,3.17,High
Tech Innovation,Jul-24,7784675,6353922,1430753,8569555.282188956,-3.36,Medium
Cybersecurity,Mar-24,2130495,5134078,-3003583,2366957.324422365,8.8,Low
Tech Innovation,Nov-24,8606227,10017708,-1411481,6729898.033001013,14.76,
Defense Systems,Oct-24,6313098,2310722,4002376,5681863.689574055,-1.52,Medium
R&D,Jul-24,11032385,1552784,9479601,8985587.293067103,13.51,
,Oct-24,9701570,2152737,7548833,11609343.19825629,13.78,Medium
R&D,May-24,8666217,9065228,,7750263.440023021,7.05,Medium
Cybersecurity,Apr-24,9103418,3695361,5408057,9860243.861862289,5.27,Medium
Energy Production,May-24,6918834,3204036,,5355775.40354396,-1.02,High
Tech Innovation,Jan-24,10711246,2350656,8360590,8337128.49732349,-2.77,High
R&D,Dec-24,2238437,,-8290621,1640448.079862205,2.96,High
Space Exploration,Jul-24,7591742,1719765,5871977,6613911.419275481,14.31,High
R&D,Feb-24,6864131,8166244,-1302113,7198873.615986807,9.47,High
Defense Systems,Apr-24,2461713,7601548,-5139835,1777499.353478247,12.66,Medium
Tech Innovation,Aug-24,8920715,7780857,1139858,8957573.971814008,-4.6,High
-,Nov-24,10303507,10378992,-75485,10322632.81249765,4.49,Low
Energy Production,May-24,11340888,7483135,3857753,9165894.340339104,2.17,High
R&D,Apr-24,6464801,6918972,-454171,6730665.689135442,7.67,Low
Defense Systems,Oct-24,4260150,1614407,2645743,4684344.665955615,9.09,Low
Medical Research,Jul-24,7785803,,1940517,8751330.122618992,11.51,High
Defense Systems,Aug-24,9827929,8975453,852476,9980740.798466742,2.09,Medium
Medical Research,Mar-24,10677407,,6539126,10980867.40697167,12.07,Low
Tech Innovation,Jan-24,,3738680,5590698,-,9.92,Low
Medical Research,Dec-24,2372885,4758234,-2385349,1687474.995487541,2.13,Medium
Cybersecurity,Dec-24,5129114,9537001,-4407887,,6.61,High
Medical Research,Aug-24,8212987,1724289,-,7500852.96720774,4.77,High
Energy Production,Aug-24,9220479,,1380420,7251278.826238667,13.9,Low
Energy Production,May-24,6765300,6984807,nil,6874438.85101871,-3.06,Medium
Cybersecurity,Oct-24,9443732,6992435,2451297,7641259.207950654,1.23,Medium
Defense Systems,-,4648883,nil,-4680445,3403018.627389353,4.14,High
Medical Research,-,3990469,3582772,407697,3616135.78459034,11.15,Medium
Administration,Jan-24,11810391,5070561,6739830,,4.3,Low
R&D,Jul-24,7310136,5325926,1984210,5784402.606472336,10.75,Low
Tech Innovation,,5357497,7752353,-2394856,5801166.746905151,-2.28,High
Cybersecurity,Aug-24,5784062,,-2058522,5583302.446013986,8.69,High
Energy Production,Nov-24,9896528,8712651,1183877,,-1.22,Low
Defense Systems,Mar-24,11398453,nil,1506812,11557898.96553479,-3.57,High
R&D,Feb-24,11083218,4892577,6190641,10248003.0327208,2.45,Low
Energy Production,May-24,6642538,7374402,-731864,6140215.132918258,10.11,High
Defense Systems,Apr-24,11646056,7748037,3898019,9196108.608801486,12.93,Medium
Medical Research,-,10917627,7352272,3565355,7829293.255877475,0.45,High
Administration,Jul-24,9291017,7437660,1853357,,12.28,Medium
R&D,Mar-24,4288551,5128780,-840229,4021707.826399284,11.37,Low
,May-24,7887393,10328511,-2441118,6858179.064951443,12.43,High
Tech Innovation,Sep-24,7344727,4958104,2386623,8279347.027709436,-2.23,High
Cybersecurity,Oct-24,8050999,1559035,,6288108.527670978,14.05,Medium
Administration,Feb-24,11255088,9859132,1395956,-,3.77,Medium
Space Exploration,Jun-24,7191805,6379572,812233,6097494.749590606,5.75,Medium
Defense Systems,nil,10551147,8094781,2456366,12007222.16749408,13.72,Low
R&D,Feb-24,6955796,5535419,1420377,6651652.21731915,10.82,Medium
Energy Production,Mar-24,3100066,-,-6289318,3668660.029086276,13.64,Medium
Space Exploration,Nov-24,,nil,7724387,13708923.29824616,-4.76,Low
Energy Production,-,7714000,9587688,-1873688,5675185.269759407,,High
Space Exploration,Apr-24,2090196,8211271,-6121075,2206524.587431535,11.45,High
R&D,Jan-24,7511739,2253246,5258493,7327665.375479708,-4.52,Medium
Administration,May-24,7240760,2580437,4660323,6406026.938387372,7.52,High
Space Exploration,Jul-24,4129798,2557126,1572672,4945903.06963374,7.16,Medium
R&D,Jan-24,3189371,6139231,-2949860,3486759.475728121,-2.95,Medium
Tech Innovation,-,2428940,9553657,-7124717,2788674.708941544,-2.6,Low
,Nov-24,2635472,5513376,-2877904,2127572.414085283,-0.12,Low
Medical Research,Jun-24,10438068,7596787,2841281,7334904.011653368,4.26,High
Medical Research,Aug-24,9973031,4259543,5713488,10403774.6060515,,Medium
Energy Production,Oct-24,6651851,5458603,1193248,7527049.449816458,13.51,High
Space Exploration,Feb-24,5013449,1902363,3111086,3556628.822267049,,High
Administration,May-24,9047743,1813261,7234482,8547568.872441387,6.64,Low
Space Exploration,Feb-24,9205777,4166476,5039301,9171348.363411583,5.36,Low
Cybersecurity,Dec-24,11223307,10411844,811463,10089729.20313457,3.07,Medium
Medical Research,Sep-24,5384430,9096944,-3712514,4221786.940169635,0.89,-
Space Exploration,Jun-24,7332001,6138003,1193998,,5.39,Low
Energy Production,Jan-24,4966785,9322630,-4355845,5313970.970035168,-3.21,Low
Defense Systems,Oct-24,6680596,6018609,661987,5807619.885283086,8.8,Low
Energy Production,Mar-24,5695762,1831062,3864700,5397758.882623421,7.15,
Medical Research,Oct-24,4883479,4095625,787854,3448376.181748012,-4.32,Low
Medical Research,Jan-24,4257739,2300076,1957663,,9.98,High
Space Exploration,Mar-24,3236916,5367434,-2130518,2736595.714768419,-4.75,Low
Space Exploration,Nov-24,8510273,6545712,1964561,8364829.84691715,11.96,High
Cybersecurity,Jan-24,10286926,5210196,5076730,8172499.658025538,,High
Medical Research,,-,9216220,-5262178,3968157.100807868,1.64,Medium
Medical Research,Jan-24,7117747,4501511,2616236,5930457.740033143,-3.39,High
Cybersecurity,May-24,3692316,10451851,-6759535,2887739.151588419,4.44,High
R&D,May-24,9541945,4891210,4650735,9303094.317887193,10.65,High
Tech Innovation,Feb-24,3832542,2729254,1103288,,11.05,Medium
Tech Innovation,nil,9255743,,-682517,6555126.122957365,14.31,High
Defense Systems,Jun-24,3236280,9873081,-6636801,2813611.667444438,-1.31,Low
Medical Research,Nov-24,,5887828,5368327,10633405.66493247,8.75,Medium
Defense Systems,nil,,1507455,2884644,4605994.418366941,-1.48,Medium
Defense Systems,Feb-24,4091257,4263711,-172454,3319181.284894546,10.07,High
Tech Innovation,Mar-24,5379357,10984255,-5604898,5601239.683029468,7.77,Medium
Tech Innovation,Jun-24,4053995,10914743,-6860748,4685502.653238222,0.28,High
Space Exploration,Oct-24,11897172,8940395,2956777,8542775.3297978,8.77,Low
R&D,Dec-24,2015764,3926738,-1910974,1525155.047349778,9.61,High
Administration,Aug-24,,3054283,8416940,12142509.51764845,8.98,Low
Energy Production,,5136187,9110436,-3974249,4091351.541021899,-4.67,High
Tech Innovation,Jan-24,5529595,6073769,-544174,6252353.493560201,9.18,High
Space Exploration,Jul-24,7730137,6749917,980220,6245425.156123063,,High
Administration,Sep-24,5289541,6260190,-970649,4042269.589698195,2.42,Low
Space Exploration,Apr-24,7271279,8582553,-1311274,8198823.564642622,10.35,Medium
Space Exploration,Jun-24,7625111,8677758,-1052647,-,2.11,High
Tech Innovation,Jun-24,10601526,5638885,4962641,11772481.58974184,12.08,Low
R&D,-,4962019,6291106,-1329087,4154844.186163249,2.73,Medium
Cybersecurity,Oct-24,5175669,1737976,3437693,4611713.364015941,0.78,Low
R&D,Aug-24,5670672,-,3498525,5993004.564944658,11.52,High
Medical Research,Mar-24,8929322,8881113,48209,8693290.210799728,11.34,High
Tech Innovation,Jul-24,8836985,8845712,nil,7013527.966390272,14.81,-
Administration,Aug-24,9278594,3378345,-,10455883.09528549,3.32,Low
R&D,Apr-24,4401730,5236460,-834730,4438390.171113683,,High
Defense Systems,Jul-24,6930108,5900352,1029756,4999635.545675042,4.45,Medium
Medical Research,Dec-24,4734590,1713318,3021272,4845453.60212929,13.09,High
R&D,Jul-24,2504359,10625102,-8120743,2261613.019127759,3.94,High
Defense Systems,,3920635,6783597,-,-,9.07,Low
Space Exploration,May-24,7668444,5316724,2351720,6296219.79603033,0.7,Medium
Medical Research,Mar-24,6327465,10485968,-4158503,,0.24,Medium
Cybersecurity,,6846207,3692196,3154011,7313813.803510628,8.85,
Medical Research,Oct-24,3642882,2771865,871017,3914672.926579999,9.06,Medium
Tech Innovation,Jun-24,10472458,,3875486,9683445.962938821,-1.22,High
Energy Production,Apr-24,6305269,7915593,-1610324,7543038.153350659,10.55,Low
Administration,Jan-24,7269748,3392647,3877101,7064658.466152382,11.43,Low
R&D,-,3491505,7597086,-4105581,4108368.830896332,6.45,High
Administration,Nov-24,4790477,2931627,1858850,5275251.545013924,-1.09,High
Medical Research,Aug-24,7856817,,2127148,6244733.414556418,7.02,High
Cybersecurity,May-24,4990658,2766035,2224623,5617379.632269543,5.48,High
Cybersecurity,Nov-24,6264655,8917854,-2653199,6499455.298319571,6.45,Medium
,Mar-24,10846581,3370384,7476197,12162392.26031536,,High
Medical Research,Jan-24,8069642,8597177,-527535,5737579.875545948,nil,Medium
Administration,Apr-24,10146956,8939832,1207124,8007906.398140227,0.04,Medium
Administration,Mar-24,9547342,10544883,-997541,10006169.9507209,,High
Space Exploration,,7726593,9485218,-1758625,8674047.145171475,11.66,High
